k_ind,t_sim,P_1,P_2,X_1,X_2,X_3,Y_m_1,Y_m_2
57,0.95,5.4,5.6,737.350831426573,477.573908710447,532.428400806848,737.626394505641,548.818478124174
58,0.966666666666667,5.4,5.6,737.341525290259,477.572381550417,532.413257451016,737.174141663774,534.223028003352
59,0.983333333333333,5.4,5.6,737.332628154925,477.571105382882,532.397890886883,738.161706409925,529.162932761946
60,1,5.4,5.6,737.324121590386,477.570068474355,532.382312801627,736.516035883457,524.878765934253
61,1.01666666666667,5.4,5.6,737.315988004566,477.56925962694,532.366534346914,737.340145642976,541.31049033077
62,1.03333333333333,5.4,5.6,737.308210604782,477.568668153494,532.350566163737,737.718185654447,524.890505733384
63,1.05,5.4,5.6,737.300773360879,477.568283853977,532.334418406059,738.117426142546,527.373795059798
64,1.06666666666667,5.4,5.6,737.293660970106,477.568096992938,532.31810076333,738.43946619657,541.808148811712
65,1.08333333333333,5.4,5.6,737.286858823658,477.568098278066,532.301622481942,737.350619724474,536.98366299838
66,1.1,5.4,5.6,737.280352974791,477.568278839762,532.284992385647,736.173592964298,541.916059064852
67,1.11666666666667,5.4,5.6,737.274130108445,477.568630211678,532.268218895022,736.723342145199,537.68904087515
68,1.13333333333333,5.4,5.6,737.268177512287,477.569144312177,532.251310046012,736.480483866164,527.945674810572
69,1.15,5.4,5.6,737.262483049114,477.569813426666,532.234273507593,739.006522309324,526.715545857648
70,1.16666666666667,5.4,5.6,737.257035130551,477.570630190756,532.217116598614,736.800258534503,540.770104582166
71,1.18333333333333,5.4,5.6,737.251822691969,477.571587574218,532.199846303835,737.806895665477,524.991263942397
72,1.2,5.4,5.6,737.246835168577,477.572678865689,532.182469289234,737.10406063372,544.927187409619
73,1.21666666666667,5.4,5.6,737.242062472626,477.57389765809,532.164991916575,737.901411408288,540.657131081932
74,1.23333333333333,5.4,5.6,737.237494971671,477.575237834726,532.147420257315,736.669976838137,535.23754911011
75,1.25,5.4,5.6,737.233123467837,477.576693556033,532.129760105854,736.192639892588,532.164408576261
76,1.26666666666667,5.4,5.6,737.228939178054,477.578259246943,532.112016992173,736.173536241636,536.038745585632
77,1.28333333333333,5.4,5.6,737.224933715195,477.579929584832,532.094196193885,737.587173596311,569.970715962844
78,1.3,5.4,5.6,737.221099070089,477.581699488028,532.076302747725,737.089486703877,530.868732992346
79,1.31666666666667,5.4,5.6,737.217427594367,477.583564104849,532.05834146051,737.071955906413,515.340522599273
80,1.33333333333333,5.4,5.6,737.21391198409,477.585518803154,532.040316919597,738.267040115867,552.608515572802
81,1.35,5.4,5.6,737.210545264138,477.587559160363,532.022233502849,737.426900869634,538.571980114629
82,1.36666666666667,5.4,5.6,737.207320773306,477.589680953953,532.004095388153,737.354096574976,525.045524556149
83,1.38333333333333,5.4,5.6,737.204232150091,477.591880152376,531.985906562493,738.382304874851,560.096083517918
84,1.4,5.4,5.6,737.201273319131,477.594152906406,531.967670830606,736.604359579519,537.884878349412
85,1.41666666666667,5.4,5.6,737.198438478257,477.596495540873,531.949391823244,737.715333794817,535.109139394202
86,1.43333333333333,5.4,5.6,737.195722086143,477.598904546786,531.931073005057,737.815357504627,523.577030611816
87,1.45,5.4,5.6,737.19311885052,477.601376573811,531.912717682113,737.012282216359,520.475368450106
88,1.46666666666667,5.4,5.6,737.190623716925,477.60390842309,531.894329009073,737.350650921037,512.901562302053
89,1.48333333333333,5.4,5.6,737.188231857965,477.606497040398,531.875909996045,736.323175660805,527.333754180496
90,1.5,5.4,5.6,737.185938663068,477.6091395096,531.857463515116,736.334157701125,520.547143425613
91,1.51666666666667,5.4,5.6,737.183739728704,477.611833046421,531.838992306588,737.261556767988,538.795883637585
92,1.53333333333333,5.4,5.6,737.181630849046,477.614574992482,531.820498984939,737.717543340957,528.409172240304
93,1.55,5.4,5.6,737.179608007061,477.617362809628,531.801986044497,739.098042516502,550.800955497561
94,1.56666666666667,5.4,5.6,737.177667366,477.620194074495,531.783455864873,736.682834488339,548.007110789243
95,1.58333333333333,5.4,5.6,737.175805261277,477.623066473336,531.764910716132,737.314804881514,533.526381519718
96,1.6,5.4,5.6,737.174018192719,477.625977797083,531.746352763736,737.112807329094,528.70947046995
97,1.61666666666667,5.4,5.6,737.172302817162,477.628925936619,531.727784073266,735.737999812116,544.102044850632
98,1.63333333333333,5.4,5.6,737.170655941384,477.631908878282,531.70920661492,736.844943055164,519.395714645986
99,1.65,5.4,5.6,737.169074515359,477.634924699564,531.690622267815,735.837422814999,538.926146268674
100,1.66666666666667,5.4,5.6,737.16755562582,477.637971565006,531.672032824094,737.791114268897,524.485759253791
101,1.68333333333333,5.4,5.6,737.166096490104,477.641047722276,531.653439992843,736.507176685015,527.353974188027
102,1.7,5.4,5.6,737.164694450281,477.644151498431,531.63484540383,737.23896333247,524.419687335497
103,1.71666666666667,5.4,5.6,737.163346967552,477.647281296343,531.616250611081,736.759306501499,537.798506249184
104,1.73333333333333,5.4,5.6,737.16205161689,477.650435591291,531.597657096288,737.38726404652,523.240932740668
105,1.75,5.4,5.6,737.160806081932,477.653612927699,531.579066272066,736.715363772829,520.156418953085
106,1.76666666666667,5.4,5.6,737.159608150096,477.656811916033,531.560479485066,737.523162418407,537.499466440888
107,1.78333333333333,5.4,5.6,737.158455707921,477.660031229826,531.541898018938,737.707063145636,526.994272300574
108,1.8,5.4,5.6,737.157346736617,477.663269602847,531.523323097169,738.427567471589,535.406769247637
109,1.81666666666667,5.4,5.6,737.156279307813,477.666525826391,531.50475588579,737.012239644281,527.725465427289
110,1.83333333333333,5.4,5.6,737.155251579503,477.669798746699,531.486197495962,735.568591969579,534.381064699593
111,1.85,5.4,5.6,737.154261792162,477.673087262481,531.467648986442,736.531286941639,503.925462901702
112,1.86666666666667,5.4,5.6,737.153308265053,477.676390322567,531.449111365942,738.158417256433,536.452492101509
113,1.88333333333333,5.4,5.6,737.152389392687,477.679706923651,531.430585595378,736.356850168706,551.337830117762
114,1.9,5.4,5.6,737.151503641451,477.683036108142,531.412072590021,737.864531412798,542.57404009998
115,1.91666666666667,5.4,5.6,737.15064954638,477.686376962114,531.393573221553,737.242694497982,541.176602484937
116,1.93333333333333,5.4,5.6,737.149825708084,477.689728613342,531.375088320019,738.215854602141,528.800374301921
117,1.95,5.4,5.6,737.149030789801,477.69309022943,531.356618675709,735.694042990272,533.300538052679
118,1.96666666666667,5.4,5.6,737.148263514596,477.696461016025,531.338165040938,737.001571430923,533.961405173713
119,1.98333333333333,5.4,5.6,737.147522662672,477.69984021511,531.319728131759,736.251301312609,532.354987711716
120,2,5.4,5.6,737.146807068814,477.703227103367,531.30130862959,739.304549027615,522.382076965159
121,2.01666666666667,5.4,5.6,737.146115619939,477.706620990628,531.282907182774,737.758428039457,527.499718708761
122,2.03333333333333,5.4,5.6,737.145447252764,477.710021218382,531.264524408066,738.168644460378,529.387440483362
123,2.05,5.4,5.6,737.144800951568,477.713427158353,531.246160892051,736.359631200141,526.083943166825
124,2.06666666666667,5.4,5.6,737.144175746065,477.716838211148,531.227817192505,736.796462984888,540.21544347313
125,2.08333333333333,5.4,5.6,737.143570709369,477.720253804959,531.209493839687,736.941398407705,558.471365766205
126,2.1,5.4,5.6,737.142984956048,477.723673394324,531.191191337582,737.958016022521,516.978581476682
127,2.11666666666667,5.4,5.6,737.142417640266,477.727096458945,531.172910165074,736.936236666138,532.551284593381
128,2.13333333333333,5.4,5.6,737.141867954011,477.73052250256,531.154650777086,737.662411715968,515.663498669988
129,2.15,5.4,5.6,737.141335125401,477.733951051864,531.13641360565,735.618887430867,545.12535177683
130,2.16666666666667,5.4,5.6,737.140818417064,477.73738165548,531.118199060938,736.878261718715,546.260648571142
131,2.18333333333333,5.4,5.6,737.140317124593,477.740813882973,531.100007532251,736.529215922927,513.244296030605
132,2.2,5.4,5.6,737.139830575073,477.744247323912,531.081839388953,735.969654264156,551.957010686884
133,2.21666666666667,5.4,5.6,737.139358125665,477.747681586971,531.063694981371,737.516275316638,519.414033604339
134,2.23333333333333,5.4,5.6,737.138899162264,477.751116299075,531.045574641654,737.348131337508,533.481610433384
135,2.25,5.4,5.6,737.138453098211,477.754551104577,531.027478684584,737.163295170836,542.82997831927
136,2.26666666666667,5.4,5.6,737.138019373062,477.757985664477,531.009407408369,736.148430339039,532.590214609921
137,2.28333333333333,5.4,5.6,737.13759745142,477.761419655677,530.99136109538,737.97419672195,555.646811927137
138,2.3,5.4,5.6,737.137186821808,477.764852770267,530.973340012872,737.397019944475,560.535811618247
139,2.31666666666667,5.4,5.6,737.136786995599,477.76828471484,530.95534441366,736.914880001091,532.440876778179
140,2.33333333333333,5.4,5.6,737.136397505997,477.771715209847,530.937374536772,737.153381732218,510.455483458845
141,2.35,5.4,5.6,737.136017907055,477.775143988968,530.919430608074,736.94161729431,526.999405859243
